comentario,etiqueta
Tenía fe que Lara hable de sus propuestas jaja,no_aporte
Huyyy apareció el dinosaurio ORTIZ,aporte
Se ve que estudiaste antes de entrar al debate.,aporte
Ni uno esta preparado,no_aporte
Es un honor verte defender principios que nos unen.,aporte
En 2020 se callaron,no_aporte
Son lo mismo,no_aporte
La mayoria no tiene empleo,aporte
Patada voladora Gano Lara,no_aporte
"No permitas que te silencien, tu voz es necesaria.",aporte
Les falta experiencia,no_aporte
💪 Sus ideas son realistas y centradas en la gente.,aporte
Nos das motivos para creer en la política.,aporte
Es bueno que se digan sus verdades así para saber por quién votaremos,aporte
otro gooooooool,no_aporte
"Sigue firme, tu visión marca la diferencia.",aporte
El país te necesita y tú estás respondiendo.,aporte
💬 Sus respuestas fueron claras y directas.,aporte
"💬 Se mantiene coherente en todo momento, eso es importante.",aporte
💡 Explica los temas complejos de manera sencilla.,aporte
Jajajajajaja,no_aporte
Lo es,no_aporte
Con tu voz crece la esperanza ciudadana.,aporte
Gracias por no evadir ninguna pregunta,aporte
"Muy buena respuesta, ¡vamos con todo!",no_aporte
"Habla con datos, no con slogans.",aporte
"Gran intervención, sigue así.",no_aporte
"❤️ Sus respuestas son claras y directas, muy confiables.",aporte
Gollllllllll,no_aporte
💡 Buen enfoque en la juventud y el desarrollo social.,aporte
Se nota tu amor por Bolivia en cada palabra 💚,aporte
Gracias por llamar a la unidad nacional.,aporte
"Valoro tu coherencia, eres la opción que necesitamos.",aporte
"Con tu claridad, muchos despiertan.",aporte
¡Qué nivel técnico y político!,aporte
Prestar y prestar,no_aporte
Esa propuesta de reforma me gustó mucho.,aporte
"Con tu talante, puedes unir a Bolivia",aporte
🌿 Muy acertadas sus ideas sobre desarrollo regional.,aporte
"Sigue firme, tu compromiso inspira.",aporte
🌟 Sus ideas son claras y prácticas.,aporte
Gracias por comprometerte con la transparencia.,aporte
gollllllllll,no_aporte
Fuerza capitán 💪 Lara 💪 🦁,no_aporte
🌟 Su mensaje es constructivo y motivador.,aporte
20 años ya,no_aporte
No masones en la politica,aporte
"Así se representa a la gente, con respeto y claridad.",aporte
Si son masones,no_aporte
No sabe lo q habla este lary,aporte
👏 Un candidato que escucha y entiende las necesidades de la gente.,aporte
Te mereces todo nuestro apoyo.,aporte
Vamos capitán,no_aporte
🤔 Muy interesante lo que dijo sobre el desarrollo regional.,aporte
Vamos capii🇧🇴👏,no_aporte
Esa propuesta puede transformar la realidad.,aporte
Opa,no_aporte
"El que no es racista del Lari, atacó a los pacientes de cáncer pedimos disculpas públicas",aporte
Que vergüenza Lara,no_aporte
Tienes mucha visión Juan Pablo,aporte
NECESITO ESCUCHAR SUS PROPUESTAS POR FAVOR 📝🧐,aporte
✨ Velasco y la Alianza Libre muestran preparación y seriedad.,aporte
Jp mostrenco,no_aporte
1ro? El unico,no_aporte
Bien dicho Lara,no_aporte
Buenas vibras JP sos el mejor,aporte
🌟 Su mensaje es constructivo y motivador.,aporte
VAMOS CON LA PRIVATIZACION DE ÁGUA VAMOS TUTO Y VAMOS AL RASISMO.,no_aporte
ese mensaje quedó claro para todos.,aporte
"PEDIMOS A LOS DOS CANDIDATOS CAMBIEN EL REGLAMENTO DE LA ASAMBLEA LEGISLATIVA, PARA TRANSPARENTAR Y PARA MEJOR ACCESIBILIDAD DE LA CIUDADANIA A LOS LEGISLADORES",aporte
Q opa,no_aporte
PAZ Y LARA 🐓🦫❤️💛💚🇧🇴,no_aporte
Dios mío 😡 da vergüenza escuchar esto,aporte
Hablas sobre el progreso del País JP,aporte
"A todos los comentarios, si ven que ninguno tiene mayoria en la asamblea, quien creen tiene capacidad de realizar acuerdos el que se la pasa con propuestas o el que se la pasa insultando",aporte
No sabe que es réplica !!,aporte
Vamos Lara 💪,no_aporte
Mucho respeto que demostró a los medios al llegar,aporte
"Ortiz si supo dar su opinión clara, estoy muy deacuerdo",aporte
PDC habla tu propuesta,aporte
No sabes que es otra cosa,aporte
"Un representante conoce la realidad de su gente y trabaja de acuerdo a sus necesidades de cada sector y no discrimina ni razas, ni lugar donde vive con honestidad siempre.",aporte
"Una pena, Lara no presenta sus propuestas, no es un debate",aporte
Da,no_aporte
fuerza lara,no_aporte
Vamos lara!,no_aporte
Tuto tampoco pues,no_aporte
LARA BRABUCON,no_aporte
Tu discurso es esperanzador.,no_aporte
❤️🤍❤️ *¡JP Velasco brilló en el debate!* 🧠 _Con ideas claras y propuestas firmes_ 🏛️ _Sabe lo que va a hacer en el Congreso_ 🇧🇴… Ver más,aporte
Vamos JP demuestra quien tiene el control del debate 💪💪💪🇧🇴🇧🇴😅,no_aporte
Así se habla adelante JP,aporte
Lara muy irrespetuoso,no_aporte
Lara muy irrespetuoso,no_aporte
Excelente Juan Pablo!!!!,no_aporte
"Lari que feo el típito, físicamente y si comportamiento",aporte
SE NOTA QUE ES IMPARCIAL ESTE ANALISTA,aporte
Lara mirando su chanchullo...,no_aporte
Vamos JP,no_aporte
Vamos JP Velasco...,no_aporte
Lara solo ataca y no expone un plan,aporte
👏🏼👏🏼👏🏼👏🏼 Vamos JP 🇧🇴,no_aporte
LOS IGNORANTES ATACAN A LA FAMILIA NO DAN SUS PROPUESTAS,aporte
Los bolivianos queremos respeto... Lara se salió de contextos Dios mío que vergüenza ...,aporte
"Lo primero era cumplir las reglas del debate, si no puedes cumplir con lo primero es preocupante lo que harás cuando asumas el poder.",aporte
Son los mismo,no_aporte
Otro gooool!!,no_aporte
Edma Lara solo dio vergüenza ajena,aporte
Pobre Lara perdido ni sabe en qué evento está,aporte
Y el Lari sigue con el mismo discurso,aporte
🗣️ Me gusta cómo Velasco habla de educación y desarrollo.,aporte
"💬 Se nota que estudió los temas, habló con seguridad.",aporte
JP cállate porfavor,no_aporte
Ortuño fans de laraaa,no_aporte
"Jaja cárdenas estás solo te respondes a tus propios comentarios, al igual que tú lari perdón Lara están solos",no_aporte
Súper imparcial este analista,no_aporte
Vamos lara te apoyamos..,no_aporte
HASTA AHORA NO ESCUCHO PROPUESTAS 🧐🤔😭😭😭,aporte
No se porq le dan cobertura a ese ignorante de Lara lo único q hizo es sembrar odio y racismo y nada de propuestas lo que queríamos escuchar como país,no_aporte
Los que hablan bonito y con mucha educacion como JP tambien nos pueden traicionar Al final solo son palabras bonitas,aporte
El ortuño tiene algo personal con JP,aporte
Velasco da cátedra de debate 👏,aporte
Lara vicepresidente de Palmasola,no_aporte
"Porfavor gente de Bolivia leamos los planes de gobierno, y escuchemos este debate, votemos con la cabeza, no nos equivoquemos con este Paz y Lara qué destruirá nuestra Bolivia",aporte
"Ortuño dando su peor análisis, que riendo salvar lo insalbable",aporte
Por fin dijo algo bueno señor Lara,aporte
No sirve para nada Lara,aporte
Excelente JP 👏👏👏,no_aporte
Que vergüenza Lara,no_aporte
Y el Lari sigue con el mismo discurso,aporte
Que vergüenza que alguien así pueda llegar a gobernarnos,aporte
Es un ataque frontal,no_aporte
"Fuerza JP , muy bien tu intervención, sin dañar ni agredir 💪🏼💪🏼💪🏼",no_aporte
No tiene idea 🤣🤣🤣🤣,no_aporte
Bamo paz y laŕa,no_aporte
Queremos un cambio y como no con las mejores propuestas de Tuto y JP,aporte
"De lejos se ve la diferencia, mo queda otra JP Vice, Bolivia Libre ❤️ 💛 💚 🇧🇴 👆 #EsConTuto",aporte
Lara no tiene respeto ni a los moderadores,aporte
Di propuesta tas Lara no ataques,aporte
LARA LE DICE A JP LO QUE TODOS QUEREMOS DECIRLE,aporte
Será que ya van a debatir el cómo ejecutarán los planes ??,aporte
jp de que respeto hablás si tú no respetas a la población,aporte
"👏 Qué serenidad, da gusto escuchar así a un candidato.",aporte
Se nota que fue Lara el atacante por favor este ortuño de donde lo sacaron como analista 🤦🤦🤦🤦,aporte
Con razón mando a sus seguidores a atacar a Tuto y JP eso es su fuerte De Lara xq propuestas no tiene ni donde está parado no sabe que vergüenza que pongan a gente manarracha a candidatear 🙅🏻‍♀️😏,aporte
Tuto abajo,no_aporte
Dios mío es que Lara no tiene ni idea de que es subsidio,aporte
Vamos capi,no_aporte
"Se nota la gran diferencia JP le da cátedra, a su adversario Bolivia Libre ❤️💛💚🇧🇴👆",aporte
Vamos Lara!,no_aporte
Parece que el Sr. Ortuño ni vio el debate,aporte
"Jajajja esa es propuesta?, Lara cuál es la propuesta a todas las problemáticas que estás enumerando?",aporte
BIEN LARA,no_aporte
"📚 Buena propuesta en educación, clara y concreta.",aporte
Es que no sabe nada de su plan de gobierno,aporte
💬 Me gusta cómo la Alianza Libre propone soluciones concretas.,aporte
Donde esta Carlos valverde,no_aporte
Jeje JP va se despide de Lara 😁,no_aporte
🌿 Sus propuestas ambientales son muy necesarias.,aporte
"Mientras los demás se pelean, Velasco propone 👏",aporte
Felicidades JP!!,no_aporte
esta nervioso,no_aporte
Una pena no hay propuestas de lara,aporte
Eso demuestra quien manda JP,aporte
Jaja que pena no sabe responder,no_aporte
Y eso que tiene que ver,aporte
Lara callateeee,no_aporte
Bien dicho se dijo gracias señor,aporte
YA TENGO PASAJE COMPRADO PRA TUTO 🤣🤣🤣🤣,aporte
Solo JP tiene propuestas,aporte
Lara solo provoca vergüenza!!!,no_aporte
Lara no sabe donde esta parado y esa gente que lo sigue piensa que nos sacara de la miseria 😂,aporte
"El circo lo hace el, PAYASOOOOOOOOOOO",aporte
"usted se habrá perdido, yo entendí perfecto a Juan Pablo",aporte
Es con tuto y jp🇧🇴,aporte
Al menos este sr juan Pablo tiene humildad eso es lo que importa creo yo y el otro se aplazó en todo sentido digan lo que digan al final los que van a gobernar son los presidentes,aporte
Este Paco no sabe nada y no sabe dónde está parado es una tristeza,no_aporte
Lara aplasta a Jp,no_aporte
De lejos se ve que el Sr. Ortuño está a favor del LARI,aporte
Y?,no_aporte
Los policias son micreros,no_aporte
Eso Capi!!!!,no_aporte
"ESOS QUE ESTAN APOYANDO A LARA, DEBEN ESTAR CREIDOS.QUE LE DARAN BONO Y SI ESO PASO NO VA CAUSAR UNA PEOR INFLACIÓN",aporte
Lara el mejor,no_aporte
Ortiz dándolo todo y Ortuño fumandolo todo,aporte
"Lara pura habladuría, 0 propuestas",aporte
JAJAJJAJAJAJA,no_aporte
Paz y Lara,no_aporte
Lara está preguntando y no respondiendo!!!,aporte
Muy educado JP,no_aporte
"Bla bla, Lara no dice cómo lo hará..!!",aporte
😊 Escuchar a Velasco transmite seguridad y confianza.,aporte
Bien JP !!!!👏👏👏👏👏,no_aporte
Da vergüenza Lara,no_aporte
JP solo fue el q debatio el otro solo fue a jod..r,aporte
Solo sé que se sacarán buenos memes,aporte
Lara sigue en el pasado,aporte
Que clase de analista puede decir que estuvo mejor Lara🙆🏼,aporte
Un chiste lara que pena,aporte
Este Lara es un Tara,aporte
"LARI, BASYRA, MODERADORAS PESIMAS",no_aporte
Correcto,no_aporte
"Todos vimos no mientas Lari, abres la boca y arruinas todo",aporte
"Vine a escuchar propuestas, no insultos, sino mejor visito a maria galindo",aporte
Lara le habla a la gente que lo va a hacer vicepresidente,aporte
Excelente inicio JP... vamos es con Tuto...,no_aporte
Decidimos por Tuto Presidente y JP Vice Bolivia Libre ❤️ 💛 💚 🇧🇴 👆 #EsConTuto,no_aporte
Lara que Insoportable!,no_aporte
Bien dicho!,no_aporte
"Nosotros defendemos, no terjiversamos",no_aporte
Bien Lara,no_aporte
Que vergüenza Jtp que lo único que hacés es atacar,aporte
Te conozco Ortuño Evista,no_aporte
"QUE BUENA LA PROPUESTA DE JUAN PABLO , EXCELENTE",aporte
Bravo jpjpjp,no_aporte
No tiene nada claro para Bolivia 💔,aporte
Vamos tuto y JP son los únicos con propuestas,no_aporte
Porque lo invitan a este sr Ortuño que debate vio este sr,aporte
Lari nadie con 2 dedos de frente te quiere,aporte
Buen trabajo JP estás listo para Bolivia 🇧🇴,aporte
Jamás,no_aporte
Pobre Lara no sabe que preguntar le falta ideas,aporte
Asi se habla Juan Pablo queremos una Bolivia unida,aporte
Justamente que vergüenza este Lary Masiburro,no_aporte
Jp Velasco dice que los jóvenes no se vayan al exterior y el se fue..osea que ejemplo,aporte
Eso JP demuestra quien es quien,aporte
Es una verdadera vergüenza,no_aporte
La diferencia de alguien que se preparo y culta vs el paco que quiere pelear porque no tiene fundamentos,no_aporte
"Estoy media hora aqui y hasta ahora no escucho una propuesta de lara, puro atacar al otro",aporte
Lara del 8,no_aporte
Tomalaaa vamos JP,no_aporte
Bien JP,no_aporte
Vamos JP👏🏻👏🏻👏🏻👏🏻,no_aporte
Claro tú si y a ti Lari hay que perdonarte jajJaj,aporte
vamoooos Jp,no_aporte
Q debate habrá visto este Sr. Ortuño para decir esa estúpidez!!,no_aporte
Uno propone el otro ataca,aporte
"Lari va, seguir tirando barro, parenlo de una",aporte
Estés yendo bien,no_aporte
"Por Dios un Masiburro Lary atropellador, no respeto nada ni las reglas del debate mucho menos respetara la Ley",no_aporte
Ya está pidiendo perdón después de dirigirse mal al otro,aporte
QUE ESTRÉS LARA NO TIENE IDEA DE LO QUE ES UN DEBATE,aporte
Los moderadores fallaron mucho,no_aporte
19 años se cayó,no_aporte
Discriminación y el otro o quiere al oriente,aporte
Lara presidente,no_aporte
"Ahora el Lari pedirá disculpas, no mientas",aporte
Tuto Campeonp,no_aporte
Lara futuro para Bolivia,no_aporte
👣👣👣Paz Lara 👣👣👣,no_aporte
Ese Ortuño al parecer se fumo de la buena 🤣🤣🤣,aporte
Vamos JP 👏👏👏👏🇧🇴,no_aporte
"Cambien a ese analista Ortuño, a uno mejor preparado",aporte
JP vicepresidente!,no_aporte
👏Mucha paciencia de JP👏👏👏Ya era hora de decírselo bien claro.,aporte
Ese lara,no_aporte
Jqjajjajajaa,no_aporte
Vamos JP los que te cocnocen sabemos que vas cumplir tus propuestas,no_aporte
Ese analista Ortuño no entendió nada,aporte
Qué desubicado,no_aporte
No se cómo lo apoyan que triste,aporte
Fuerza JP 🙌🏼❤️,no_aporte
Que empiece desde abajo,no_aporte
Ya no sabe ni que decir el Lari,aporte
Opa lary,no_aporte
"LARA ESTA INCUMPLIENDO LAS NORMAS. NO RECUERDEN A LOS CANDIDATOS, RECUERDEN LE AL LARA",aporte
Bien dicho JP 👏👏👏👏,no_aporte
Como hay gente que apoya a este Lacra 🫠,no_aporte
Lara solo sabe seguir un guión no razona,aporte
Buena respuesta Juan Pablo,no_aporte
"Nadie lo preparó a Lara se está hundiendo solo,nada de propuestas,solo ataque y ataque",aporte
Bien JUAN PABLO SEGUNDO,no_aporte
QUEREMOS PROPUESTAS,aporte
"Quien quien ha dicho , su unica defensa",aporte
"No hay peor ciego, que el que no quiera ver 🤦🏻‍♀️ Tanto que lo explican sobre el tema de su cuenta de JP",aporte
Yo ya no quería escuchar a Lara porque ya aburre,aporte
Y sigamos esperando las propuestas del capitánciñlo de 3 pesos,aporte
No es verdad,no_aporte
"Unidad, economía, tecnología, sistemas anticorrupcion es lo que necesitamos, bien JP",no_aporte
Aquí esperando la propuesta de Lara osea ninguna. Puro insultos.,aporte
Aqui se vino a debatir como salir de la crisis no hablar cosas del pasado,aporte
De que se disfrazó Lara de Peterpan,aporte
CONSTE QUE ABROGARAN LAS LEYES INCENDIARIAS Y QUE PAGARAN LOS ROBOS LOS DEL ACTUAL GOBIERNO,aporte
Ya va a llorar el tal JP,aporte
"Ortuño quiere ya elegir a Lara, claramente emocionado por Edman, antes por Andronico",aporte
Que vergüenza lo que echa la este señor ignorancia total un payaso 🤡 señor vergüenza nacional,no_aporte
A la nada ese debate.... lara no dise nada,aporte
No spam,no_aporte
"Gracias JP, te acordaste de los chaqueños.",aporte
El peor analista Ortuño 🙄,aporte
Bien dicho señor Ortiz,no_aporte
Ya se va copiar el paco,no_aporte
No sabe economía,aporte
Con JP ❤️❤️❤️❤️❤️,no_aporte
Compartir país con un opa como ese es una desgracia,no_aporte
Se nota su Sonrisa fingida Lara,aporte
"Ese opa Lari, no dijo ni una propuesta, solo ataca con lo mismo",no_aporte
OPA,no_aporte
Siguen atacando,no_aporte
Tuto presidente,no_aporte
VAMOS JP!!! 👏💪💪💪,no_aporte
Fue la peor payasada lo ha dejado a su binomio peor que antes 😆😱😅,aporte
No es con gritos que Bolivia saldrá de la crisis es con propuestas sin odios,aporte
Todo el rato con la MISMA OPERIA,aporte
Moderado???,no_aporte
Ganó Lara porque no golpeó se contuvo dice,aporte
El peor analista hasta el momento Ortuño te ganaste el 🏆,aporte
Felicidades jp💯,no_aporte
Lara sin propuestas,aporte
"No es necesario que actúe de forma tan prepotente al dar sus respuestas, se nota que está bien nervioso.",aporte
"Si Lara no sabe cómo responder si su papelito y ni siquiera sabe cómo preguntar no espero nada si llegase al gobierno, totalmente lamentable",aporte
Lara no hablo... vino a gritar que pena,aporte
Opa lary ppr q lees antes de preguntar,no_aporte
Si,no_aporte
Y ahora otra ves el tuit no sabes decir otra cosa,aporte
Lara da vergüenza ajena,no_aporte
Lara quedó en una vergüenza total!!!,aporte
"No hay punto de comparación, es con Tuto!!!!!",aporte
"A ver Lara responde, se nota tu ignorancia por qué no puedes dar un plan claro en nada",aporte
Ya madura en el camino 🤣🤣🤣,aporte
Lara Arpia de mercado,no_aporte
Xd todo el debate de Lara fue del racismo y lo del banco fassil xd,aporte
"El Sr. Lara no esta en el debate,",aporte
Bueno a esperar el debate presidencial ojalá sean propuestas.,aporte
Este no estudio bien Lara aplazado,aporte
"El Lara no sabe respetar la opinión o propuestas del partido contrario, totalmente ignorante y que solo no tiene respeto",no_aporte
Bien dicho JP Velasco,no_aporte
Dale capitán Lara tu puedes,aporte
Da mucha pena ese señor Lara,aporte
Buen dicho JP,no_aporte
YA MUCHO BLA BLA HAGAN SUS PREGUNTAS!!!,aporte
Bien unido Lara jajajaj,no_aporte
Lara no dió propuestas claras,aporte
Bien dicho,no_aporte
Cero educación tiene Lara y así quieren que gobierne un país,aporte
La visión de paz es un chicle,aporte
Este no es un debate: JP le está dando cátedra a este Lari,aporte
Dónde están los moderadores para moderar al lari lari 😱 es una vergüenza mirar estas faltas de respeto desde el exterior,aporte
Lara que es estado tranca,aporte
📚 Buen enfoque en educación y juventud.,aporte
Vamos JP 👏🏻👏🏻👏🏻👏🏻🇧🇴🇧🇴🇧🇴,no_aporte
Gobernabilidad con Propósito. La mejor Propuesta para que nuestro País atraiga a Inversores. Felicidades JP,aporte
Que ridículez!!! Que vergüenza ese Lari !!,aporte
Jp ganó por goleada al opa Lari,no_aporte
Le estás dando voz a quienes no la tienen.,aporte
Que gil ese lara🤣🤣no sabe nada,aporte
Señor Ortuño zapatero a su zapato,aporte
De lejos se ve el nivel de preparacion de JP! Lara puro resentimiento y cero propuestas solidas,aporte
Nonsabes de economia,no_aporte
Que sean profesionales los diputados por favor,aporte
Se nota quién está listo para gobernar.,aporte
"Lari solo habla de racismo, que OPA",no_aporte
Paz sigue cobrando como senador y está haciendo campaña,aporte
Los ataques add hominem inician cuando no hay propuestas objetivas ni argumentos.,aporte
Sigues con eso,no_aporte
PDC de👏,no_aporte
Tuto presidente,no_aporte
Yo quiero verlo a tuto como habla un hombre bien preparado,aporte
"Racismo, discriminación blabla",no_aporte
"Estoy media hora aqui y hasta ahora no escucho una propuesta de lara, puro atacar al otro",aporte
Lara del 8,no_aporte
Tomalaaa vamos JP,no_aporte
Bien JP,no_aporte
Vamos JP👏🏻👏🏻👏🏻👏🏻,no_aporte
Claro tú si y a ti Lari hay que perdonarte jajJaj,aporte
vamoooos Jp,no_aporte
Q debate habrá visto este Sr. Ortuño para decir esa estúpidez!!,no_aporte
Uno propone el otro ataca,aporte
"Lari va, seguir tirando barro, parenlo de una",aporte
Estés yendo bien,no_aporte
"Por Dios un Masiburro Lary atropellador, no respeto nada ni las reglas del debate mucho menos respetara la Ley",no_aporte
Ya está pidiendo perdón después de dirigirse mal al otro,aporte
QUE ESTRÉS LARA NO TIENE IDEA DE LO QUE ES UN DEBATE,aporte
Los moderadores fallaron mucho,no_aporte
19 años se cayó,no_aporte
Discriminación y el otro o quiere al oriente,aporte
Lara presidente,no_aporte
